Reference,Account Number,Description,Start Balance,Mutation,End Balance
149163,NL56RABO0149876948,Candy from Rik King,40.05,-16.12,23.93
112806,NL43AEGO0773393871,Tickets for Jan Dekker,94.69,-25.18,69.51
193928,NL27SNSB0917829871,Flowers from Vincent Dekker,74.15,-22.05,52.1
179777,NL90ABNA0585647886,Flowers from Vincent de Vries,74.41,-4.93,69.48
112806,NL27SNSB0917829871,Candy for Richard Bakker,31.91,-10.35,21.56
112806,NL46ABNA0625805417,Clothes for Peter de Vries,51.3,+21.21,72.51
153027,NL93ABNA0585619023,Candy for Daniël de Vries,41.32,+40.33,81.65
102697,NL46ABNA0625805417,Flowers for Willem Bakker,78.01,-38.6,39.41
113900,NL69ABNA0433647324,Clothes from Rik King,105.02,+16.45,121.47
128401,NL46ABNA0625805417,Candy from Vincent Bakker,74.52,+13.06,87.58
128402,NL46ABNA0625805418,Candy from Jainendra Kumar,74.51,+13.06,87.59
